profile_id,profile_type,full_name_or_company_name,bank_id,city,address,sector_or_job,status,country,latitude,longitude,expected_document_count,expected_score_band,government_country_visibility
company_008,company,Alliance Imprimerie Owando,bank_003,Owando,"Boulevard de la Cuvette, Mpouya, Owando",Imprimerie,under_review,CG,-0.473127,15.897122,8,D,CG
company_009,company,Services Imprimerie Pointe-Noire,bank_003,Pointe-Noire,"Avenue Avenue Marien Ngouabi, Lumumba, Pointe-Noire",Imprimerie,active,CG,-4.786728,11.862133,9,B,CG
company_010,company,Maison Pharmacie Pointe-Noire,bank_001,Pointe-Noire,"Boulevard Loango, Centre-ville, Pointe-Noire",Pharmacie locale,active,CG,-4.780146,11.839416,8,C,CG
company_011,company,Alliance Agro-transformation Brazzaville,bank_003,Brazzaville,"Avenue Avenue Amilcar Cabral, Talangai, Brazzaville",Agro-transformation,under_review,CG,-4.237611,15.238209,8,D,CG
company_012,company,Groupe Agro-transformation Brazzaville,bank_001,Brazzaville,"Avenue Avenue Amilcar Cabral, Poto-Poto, Brazzaville",Agro-transformation,incomplete,CG,-4.257631,15.217271,6,E,CG
company_013,company,Comptoir Maintenance Owando,bank_003,Owando,"Rue de l'Hôpital, Mpouya, Owando",Maintenance technique,active,CG,-0.48687,15.927571,10,A,CG
company_014,company,Alliance Fournitures Brazzaville,bank_002,Brazzaville,"Boulevard Alfred Raoul, Talangai, Brazzaville",Fournitures de bureau,active,CG,-4.288485,15.262152,8,C,CG
company_015,company,Alliance Imprimerie Brazzaville,bank_003,Brazzaville,"Avenue Avenue Matsoua, Ouenzé, Brazzaville",Imprimerie,under_review,CG,-4.239901,15.25706,8,D,CG
company_016,company,Societe Maintenance Brazzaville,bank_002,Brazzaville,"Avenue Avenue Amilcar Cabral, Talangai, Brazzaville",Maintenance technique,active,CG,-4.276131,15.232647,8,C,CG
company_017,company,Services Fournitures Pointe-Noire,bank_002,Pointe-Noire,"Rue Kasa-Vubu, Mongo Mpoukou, Pointe-Noire",Fournitures de bureau,active,CG,-4.792637,11.852444,9,B,CG
company_018,company,Logistique Transport Pointe-Noire,bank_003,Pointe-Noire,"Boulevard Loango, Lumumba, Pointe-Noire",Transport et logistique,active,CG,-4.775681,11.839629,10,B,CG
company_019,company,Comptoir Services Dolisie,bank_003,Dolisie,"Avenue Avenue de la Gare, Nkouikou, Dolisie",Services numeriques,incomplete,CG,-4.224781,12.677401,6,E,CG
company_020,company,Groupe BTP Pointe-Noire,bank_001,Pointe-Noire,"Rue Kasa-Vubu, Lumumba, Pointe-Noire",BTP léger,active,CG,-4.786985,11.833619,8,C,CG
company_021,company,Distribution Services Oyo,bank_002,Oyo,"Rue de l'Oubangui, Centre, Oyo",Services numeriques,incomplete,CG,-1.141605,15.859333,6,E,CG
company_022,company,Tech Services Pointe-Noire,bank_001,Pointe-Noire,"Boulevard Loango, Centre-ville, Pointe-Noire",Services numeriques,active,CG,-4.769711,11.852823,10,B,CG
company_023,company,Atelier Transport Oyo,bank_002,Oyo,"Boulevard de la Cuvette, Mpili, Oyo",Transport et logistique,active,CG,-1.183209,15.847363,10,A,CG
company_024,company,Maison BTP Pointe-Noire,bank_001,Pointe-Noire,"Avenue Avenue Marien Ngouabi, Mvoumvou, Pointe-Noire",BTP léger,active,CG,-4.783107,11.856844,10,A,CG
company_025,company,Atelier Pharmacie Pointe-Noire,bank_002,Pointe-Noire,"Avenue Avenue Charles de Gaulle, Lumumba, Pointe-Noire",Pharmacie locale,active,CG,-4.770633,11.883674,9,B,CG
company_026,company,Alliance Agro-transformation Pointe-Noire,bank_001,Pointe-Noire,"Rue Kasa-Vubu, Tié-Tié, Pointe-Noire",Agro-transformation,under_review,CG,-4.802482,11.848688,8,D,CG
company_027,company,Logistique Services Impfondo,bank_001,Impfondo,"Rue du Marché, Centre, Impfondo",Services numeriques,active,CG,1.623644,18.078016,9,B,CG
company_028,company,Comptoir Imprimerie Impfondo,bank_001,Impfondo,"Rue du Marché, Plateau, Impfondo",Imprimerie,active,CG,1.60713,18.087225,8,C,CG
company_029,company,Groupe Restauration Brazzaville,bank_002,Brazzaville,"Avenue Avenue Matsoua, Moungali, Brazzaville",Restauration,incomplete,CG,-4.258263,15.241054,6,E,CG
company_030,company,Societe Fournitures Pointe-Noire,bank_002,Pointe-Noire,"Rue Kasa-Vubu, Tié-Tié, Pointe-Noire",Fournitures de bureau,active,CG,-4.805682,11.84704,10,B,CG
